num,País,Oro,Plata,Bronce,Total
1,Estados Unidos,27,35,32,94
2,China,25,23,17,65
3,Australia,18,12,11,41
4,Francia,13,17,21,51
5,Reino Unido,12,17,20,49
6,Corea del Sur,12,8,7,27
7,Japón,12,6,13,31
8,Italia,9,10,8,27
9,Países Bajos,9,5,6,20
10,Alemania,8,5,5,18
11,Canadá,6,4,9,19
12,Irlanda,4,0,3,7
13,Nueva Zelanda,3,6,1,10
14,Rumania,3,4,1,8
15,Suecia,3,3,2,8
16,Hungría,3,3,2,8
17,Ucrania,3,2,3,8
18,Brasil,2,5,7,14
19,España,2,3,6,11
20,Croacia,2,1,3,6
21,Cuba,2,1,2,5
22,Azerbaiyán,2,1,0,3
23,Bélgica,2,0,3,5
24,Hong Kong,2,0,2,4
25,Filipinas,2,0,2,4
26,Serbia,2,0,0,2
27,Israel,1,4,1,6
28,Kazajistán,1,3,3,7
29,Jamaica,1,3,1,5
30,Atletas Individuales Neutrales,1,3,0,4
31,Suiza,1,2,4,7
32,Tailandia,1,2,2,5
33,Georgia,1,2,1,4
34,Dinamarca,1,2,0,3
35,Grecia,1,1,5,7
36,Polonia,1,1,4,6
37,Kenia,1,1,3,5
38,República de Sudáfrica,1,1,2,4
39,Chile,1,1,0,2
40,Ecuador,1,1,0,2
41,Uganda,1,1,0,2
42,Santa Lucía,1,1,0,2
43,Taiwán,1,0,4,5
44,Uzbekistán,1,0,2,3
45,Irán,1,0,2,3
46,Guatemala,1,0,1,2
47,República Checa,1,0,1,2
48,Noruega,1,0,1,2
49,Eslovenia,1,0,0,1
50,Argentina,1,0,0,1
51,Dominica,1,0,0,1
52,Argelia,1,0,0,1
53,Bahrein,1,0,0,1
54,Marruecos,1,0,0,1
55,Corea del Norte,0,2,3,5
56,México,0,2,1,3
57,Armenia,0,2,1,3
58,Etiopía,0,2,0,2
59,Turquía,0,1,3,4
60,Kirguizistán,0,1,3,4
61,Lituania,0,1,2,3
62,Túnez,0,1,1,2
63,Kosovo,0,1,1,2
64,Mongolia,0,1,0,1
65,Fiyi,0,1,0,1
66,Colombia,0,1,0,1
67,Chipre,0,1,0,1
68,India,0,0,3,3
69,Tayikistán,0,0,3,3
70,Moldavia,0,0,2,2
71,República Dominicana,0,0,2,2
72,Malasia,0,0,2,2
73,Egipto,0,0,1,1
74,Eslovaquia,0,0,1,1
75,Austria,0,0,1,1
76,Portugal,0,0,1,1
77,Grenada,0,0,1,1
78,Cabo Verde,0,0,1,1
79,Indonesia,0,0,1,1
80,Perú,0,0,1,1
81,Zambia,0,0,1,1
82,Bulgaria,0,0,0,0
83,Catar,0,0,0,0
84,Bahamas,0,0,0,0
85,Bielorrusia,0,0,0,0
86,Venezuela,0,0,0,0
87,Estonia,0,0,0,0
88,Letonia,0,0,0,0
89,Bermudas,0,0,0,0
90,Puerto Rico,0,0,0,0
91,San Marino,0,0,0,0
92,Jordania,0,0,0,0
93,Nigeria,0,0,0,0
94,Turkmenistán,0,0,0,0
95,Macedonia,0,0,0,0
96,Namibia,0,0,0,0
97,Arabia Saudí,0,0,0,0
98,Finlandia,0,0,0,0
99,Kuwait,0,0,0,0
100,Costa de Marfil,0,0,0,0
101,Ghana,0,0,0,0
102,Siria,0,0,0,0
103,Burkina Faso,0,0,0,0
104,Botswana,0,0,0,0
